종목명,현재가,전일비,등락률,거래량,거래대금,link
KODEX 차이나A50,"21,495",5,+0.02%,+25.89%,378,https://finance.naver.com/item/main.naver?code=169950
KODEX 200롱코스닥150숏선물,"9,200",15,-0.16%,+0.33%,581,https://finance.naver.com/item/main.naver?code=360140
RISE 글로벌테크놀로지(합성 H),"32,115",60,+0.19%,+8.92%,"1,426",https://finance.naver.com/item/main.naver?code=276650
KODEX 미국S&P500산업재(합성),"34,165",20,+0.06%,+14.99%,"3,924",https://finance.naver.com/item/main.naver?code=200030
KODEX 미국S&P500에너지(합성),"14,820",95,-0.64%,+13.94%,"10,532",https://finance.naver.com/item/main.naver?code=218420
ACE 인도시장대표BIG5그룹액티브,"9,710",95,+0.99%,-6.01%,"4,648",https://finance.naver.com/item/main.naver?code=487920
TIGER 미국방산TOP10,"9,515",35,+0.37%,N/A,"18,846",https://finance.naver.com/item/main.naver?code=494840
RISE 내수주플러스,"8,370",15,+0.18%,-2.68%,"3,903",https://finance.naver.com/item/main.naver?code=326230
KODEX 차이나2차전지MSCI(합성),"6,525",75,-1.14%,+34.15%,"4,183",https://finance.naver.com/item/main.naver?code=419430
KODEX 일본TOPIX100,"22,100",140,-0.63%,+9.00%,"2,136",https://finance.naver.com/item/main.naver?code=101280
RISE 미국AI테크액티브,"11,225",145,+1.31%,N/A,"76,152",https://finance.naver.com/item/main.naver?code=495940
TIGER 200커버드콜,"8,115",5,+0.06%,-0.47%,"6,514",https://finance.naver.com/item/main.naver?code=289480
TIGER TSMC파운드리밸류체인,"15,510",190,+1.24%,+5.98%,"6,337",https://finance.naver.com/item/main.naver?code=453950
히어로즈 국고채30년액티브,"66,760",370,-0.55%,+7.57%,"6,017",https://finance.naver.com/item/main.naver?code=471460
KODEX 미국S&P500헬스케어,"12,310",30,+0.24%,-3.08%,"11,063",https://finance.naver.com/item/main.naver?code=453640
WON 미국우주항공방산,"16,545",255,+1.57%,+17.45%,"14,590",https://finance.naver.com/item/main.naver?code=440910
WON 반도체밸류체인액티브,"8,230",75,+0.92%,-7.43%,142,https://finance.naver.com/item/main.naver?code=474590
TIGER 삼성그룹펀더멘털,"10,800",50,-0.46%,-10.43%,"1,870",https://finance.naver.com/item/main.naver?code=138520
WON 전단채플러스액티브,"50,260",0,0.00%,N/A,0,https://finance.naver.com/item/main.naver?code=496020
TIGER 미국달러선물인버스2X,"5,345",25,-0.47%,-14.56%,"25,181",https://finance.naver.com/item/main.naver?code=261120
ACE 아시아TOP50S&P,"16,770",165,+0.99%,+15.39%,"121,642",https://finance.naver.com/item/main.naver?code=277540
KODEX 배당성장채권혼합,"13,040",20,-0.15%,+0.04%,"5,962",https://finance.naver.com/item/main.naver?code=237370
PLUS 국고채30년액티브,"119,830",810,-0.67%,+7.78%,22,https://finance.naver.com/item/main.naver?code=451600
KODEX WTI원유선물인버스(H),"4,230",60,-1.40%,-5.92%,"138,769",https://finance.naver.com/item/main.naver?code=271050
TIGER 반도체TOP10레버리지,"4,545",50,+1.11%,-18.57%,"346,365",https://finance.naver.com/item/main.naver?code=488080
RISE 국채선물10년인버스,"53,545",415,+0.78%,-0.46%,935,https://finance.naver.com/item/main.naver?code=295020
ACE 일본Nikkei225(H),"27,955",10,-0.04%,+9.37%,"8,179",https://finance.naver.com/item/main.naver?code=238720
RISE 200선물인버스2X,"2,430",45,-1.82%,+9.76%,"50,146",https://finance.naver.com/item/main.naver?code=252420
TIGER 코스닥150바이오테크,"12,695",30,+0.24%,-0.12%,"11,611",https://finance.naver.com/item/main.naver?code=261070
KODEX 삼성그룹밸류,"7,970",5,-0.06%,-9.53%,"9,999",https://finance.naver.com/item/main.naver?code=213610
KODEX 보험,"9,680",130,-1.33%,-3.54%,"6,617",https://finance.naver.com/item/main.naver?code=140700
HANARO 글로벌생성형AI액티브,"20,950",320,+1.55%,+41.84%,"24,395",https://finance.naver.com/item/main.naver?code=461340
TIGER 미국나스닥100ETF선물,"10,950",70,+0.64%,N/A,390,https://finance.naver.com/item/main.naver?code=483240
SOL 코스닥150,"11,355",5,+0.04%,-5.26%,412,https://finance.naver.com/item/main.naver?code=450910
KODEX 33-06 국고채액티브,"11,050",20,-0.18%,+1.98%,"10,947",https://finance.naver.com/item/main.naver?code=457690
KODEX 글로벌로봇(합성),"19,070",310,-1.60%,+17.60%,"8,417",https://finance.naver.com/item/main.naver?code=276990
SOL KIS단기통안채,"109,065",15,+0.01%,+0.76%,1,https://finance.naver.com/item/main.naver?code=363510
KODEX 탄소효율그린뉴딜,"8,240",20,-0.24%,-3.73%,"11,688",https://finance.naver.com/item/main.naver?code=375770
KODEX 미국S&P500테크놀로지,"15,065",120,+0.80%,+17.02%,"4,584",https://finance.naver.com/item/main.naver?code=463680
ACE 일본TOPIX레버리지(H),"42,125",325,+0.78%,+15.37%,25,https://finance.naver.com/item/main.naver?code=196030
ACE 애플밸류체인액티브,"11,080",165,+1.51%,+13.94%,"6,308",https://finance.naver.com/item/main.naver?code=483420
KOSEF 코리아밸류업,"9,540",20,+0.21%,N/A,"60,903",https://finance.naver.com/item/main.naver?code=496090
KODEX 53-09 국고채액티브,"12,560",70,-0.55%,+7.40%,"6,309",https://finance.naver.com/item/main.naver?code=457700
KODEX TDF2030액티브,"13,075",15,-0.11%,+7.37%,"7,841",https://finance.naver.com/item/main.naver?code=433970
KODEX TDF2040액티브,"13,925",5,+0.04%,+9.45%,"16,002",https://finance.naver.com/item/main.naver?code=433980
TIGER 차이나반도체FACTSET,"6,990",55,-0.78%,+57.96%,"3,404",https://finance.naver.com/item/main.naver?code=396520
RISE 차이나HSCEI(H),"8,615",40,-0.46%,+19.46%,"1,803",https://finance.naver.com/item/main.naver?code=250730
TIGER 미국AI반도체팹리스,"11,760",205,+1.77%,N/A,"30,754",https://finance.naver.com/item/main.naver?code=491830
TIGER 코스피고배당,"15,200",25,-0.16%,+1.63%,"4,792",https://finance.naver.com/item/main.naver?code=210780
ACE 글로벌메타버스테크액티브,"14,510",180,+1.26%,+22.37%,311,https://finance.naver.com/item/main.naver?code=411050
KODEX 게임산업,"7,220",130,-1.77%,+4.18%,"19,192",https://finance.naver.com/item/main.naver?code=300950
TIGER 200 건설,"2,630",0,0.00%,-16.64%,"40,802",https://finance.naver.com/item/main.naver?code=139220
RISE 미국AI밸류체인TOP3Plus,"12,125",15,+0.12%,+26.08%,"10,365",https://finance.naver.com/item/main.naver?code=485690
TIGER 우주방산,"11,005",75,-0.68%,+3.12%,"99,582",https://finance.naver.com/item/main.naver?code=463250
TIGER 200IT레버리지,"25,555",270,+1.07%,-22.44%,"5,842",https://finance.naver.com/item/main.naver?code=243880
RISE 미국단기투자등급회사채액..,"12,045",5,+0.04%,+7.74%,"4,541",https://finance.naver.com/item/main.naver?code=437350
TIGER 원유선물Enhanced(H),"4,275",50,+1.18%,+3.94%,"20,549",https://finance.naver.com/item/main.naver?code=130680
KODEX 에너지화학,"10,065",75,+0.75%,-14.10%,"7,628",https://finance.naver.com/item/main.naver?code=117460
KODEX 일본부동산리츠(H),"10,525",40,-0.38%,-6.13%,"15,775",https://finance.naver.com/item/main.naver?code=352540
KOSEF 미국달러선물레버리지,"15,430",50,+0.33%,+17.18%,10,https://finance.naver.com/item/main.naver?code=225800
ACE 코스닥150,"11,765",75,+0.64%,-4.88%,"28,221",https://finance.naver.com/item/main.naver?code=354500
마이티 다이나믹퀀트액티브,"11,670",35,-0.30%,-3.66%,10,https://finance.naver.com/item/main.naver?code=442260
ACE 국고채3년,"103,630",40,+0.04%,+1.31%,77,https://finance.naver.com/item/main.naver?code=114460
TIGER 글로벌사이버보안INDXX,"14,885",405,-2.65%,+27.26%,"14,136",https://finance.naver.com/item/main.naver?code=418670
KODEX IT,"15,275",135,+0.89%,-11.44%,"10,497",https://finance.naver.com/item/main.naver?code=266370
TIGER 리츠부동산인프라채권TR K..,"4,555",40,-0.87%,-6.59%,"10,538",https://finance.naver.com/item/main.naver?code=341850
TIGER 차이나클린에너지SOLACTIV..,"6,320",40,-0.63%,+22.31%,"1,383",https://finance.naver.com/item/main.naver?code=396510
TIGER Fn신재생에너지,"8,065",225,+2.87%,-4.39%,"24,058",https://finance.naver.com/item/main.naver?code=377990
TIGER 게임TOP10,"5,635",75,-1.31%,+3.25%,"150,908",https://finance.naver.com/item/main.naver?code=364990
ACE ESG액티브,"7,480",40,+0.54%,-3.13%,232,https://finance.naver.com/item/main.naver?code=385590
RISE 미국고정배당우선증권 TR,"11,965",75,+0.63%,+4.67%,"6,440",https://finance.naver.com/item/main.naver?code=354240
PLUS 미국S&P500성장주,"11,160",40,+0.36%,N/A,"93,905",https://finance.naver.com/item/main.naver?code=494410
KODEX 미국나스닥100선물인버스(..,"7,425",25,-0.34%,-9.64%,"19,818",https://finance.naver.com/item/main.naver?code=409810
KODEX 미국S&P바이오(합성),"28,920",335,-1.15%,+2.67%,"6,386",https://finance.naver.com/item/main.naver?code=185680
TIGER KEDI혁신기업ESG30,"9,465",10,-0.11%,-2.97%,"1,619",https://finance.naver.com/item/main.naver?code=417630
RISE TDF2050액티브,"13,390",5,+0.04%,+10.35%,"7,769",https://finance.naver.com/item/main.naver?code=442570
TIGER 퓨처모빌리티액티브,"7,175",20,-0.28%,-8.17%,"2,816",https://finance.naver.com/item/main.naver?code=387280
KODEX 테슬라밸류체인FactSet,"16,320",90,-0.55%,+34.34%,"11,318",https://finance.naver.com/item/main.naver?code=459560
DAISHIN343 AI반도체&인프라액티..,"7,770",115,+1.50%,+0.72%,"3,206",https://finance.naver.com/item/main.naver?code=486240
RISE 미국30년국채액티브,"10,290",85,-0.82%,-4.54%,"43,556",https://finance.naver.com/item/main.naver?code=481340
KODEX 미국S&P500유틸리티,"12,960",55,+0.43%,+7.97%,"3,983",https://finance.naver.com/item/main.naver?code=463640
SOL 코리아밸류업TR,"9,530",25,+0.26%,N/A,"8,171",https://finance.naver.com/item/main.naver?code=495550
KOSEF 국고채3년,"110,630",50,+0.05%,+1.36%,93,https://finance.naver.com/item/main.naver?code=114470
ACE 라이프자산주주가치액티브,"10,015",115,-1.14%,N/A,"12,064",https://finance.naver.com/item/main.naver?code=494330
KODEX 대만테크고배당다우존스,"9,410",5,-0.05%,+3.46%,"1,025",https://finance.naver.com/item/main.naver?code=487950
KODEX iShares미국투자등급회사..,"11,585",35,-0.30%,+5.20%,"5,458",https://finance.naver.com/item/main.naver?code=468630
KOSEF 코스닥150,"5,775",15,+0.26%,-5.34%,"14,247",https://finance.naver.com/item/main.naver?code=316670
KODEX 웹툰&드라마,"3,250",20,-0.61%,+15.96%,"17,244",https://finance.naver.com/item/main.naver?code=395150
SOL KEDI메가테크액티브,"14,105",100,+0.71%,-0.50%,"6,126",https://finance.naver.com/item/main.naver?code=444200
ACE 러시아MSCI(합성),"8,720",0,0.00%,0.00%,0,https://finance.naver.com/item/main.naver?code=265690
ACE 미국IT인터넷S&P(합성 H),"20,155",355,-1.73%,+28.59%,107,https://finance.naver.com/item/main.naver?code=280320
KODEX 배당성장,"15,340",50,-0.32%,-2.19%,"1,741",https://finance.naver.com/item/main.naver?code=211900
KODEX 차이나과창판STAR50(합성),"8,010",50,-0.62%,+60.24%,"1,689",https://finance.naver.com/item/main.naver?code=415340
ACE 주주환원가치주액티브,"12,880",105,-0.81%,+8.98%,"1,888",https://finance.naver.com/item/main.naver?code=447430
HANARO Fn전기&수소차,"7,110",40,-0.56%,-10.01%,606,https://finance.naver.com/item/main.naver?code=381560
PLUS 애플채권혼합,"12,750",30,+0.24%,+6.66%,"6,447",https://finance.naver.com/item/main.naver?code=447660
WON 종합채권(AA-이상)액티브,"51,495",35,-0.07%,+2.58%,62,https://finance.naver.com/item/main.naver?code=488720
KODEX S&P글로벌인프라(합성),"18,125",65,+0.36%,+9.22%,"2,122",https://finance.naver.com/item/main.naver?code=269420
KODEX KRX300,"15,680",20,+0.13%,-3.69%,644,https://finance.naver.com/item/main.naver?code=292190
RISE 삼성그룹Top3채권혼합,"9,795",0,0.00%,-3.69%,"2,106",https://finance.naver.com/item/main.naver?code=448630
히어로즈 25-09 미국채권(AA-이..,"55,700",200,+0.36%,+7.84%,989,https://finance.naver.com/item/main.naver?code=467620
1Q 차이나H(H),"12,965",145,-1.11%,+18.59%,1,https://finance.naver.com/item/main.naver?code=472350
HANARO Fn K-푸드,"10,695",35,-0.33%,+8.06%,"21,614",https://finance.naver.com/item/main.naver?code=438900
TIGER 농산물선물Enhanced(H),"5,510",45,-0.81%,-0.45%,"1,356",https://finance.naver.com/item/main.naver?code=137610
KODEX K-미래차액티브,"7,515",0,0.00%,-9.07%,555,https://finance.naver.com/item/main.naver?code=385520
KOSEF 미국S&P500(H),"15,380",10,-0.06%,+8.27%,"2,056",https://finance.naver.com/item/main.naver?code=449780
RISE 글로벌주식분산액티브,"13,930",20,-0.14%,+12.45%,"2,841",https://finance.naver.com/item/main.naver?code=459750
TIGER 200 에너지화학,"9,575",25,+0.26%,-12.26%,"112,425",https://finance.naver.com/item/main.naver?code=139250
PLUS 미국테크TOP10레버리지(합..,"30,465",100,+0.33%,+56.60%,"1,729",https://finance.naver.com/item/main.naver?code=461910
PLUS 선진국MSCI(합성 H),"12,040",100,+0.84%,-4.37%,"4,291",https://finance.naver.com/item/main.naver?code=195970
PLUS 미국다우존스고배당주(합성..,"17,815",25,-0.14%,+4.97%,"2,427",https://finance.naver.com/item/main.naver?code=213630
KODEX 국채선물3년인버스,"54,585",0,0.00%,+0.34%,0,https://finance.naver.com/item/main.naver?code=292770
RISE 200선물레버리지,"13,680",30,+0.22%,-9.33%,"6,137",https://finance.naver.com/item/main.naver?code=252400
ACE 미국친환경그린테마INDXX,"9,355",0,0.00%,+8.09%,"2,871",https://finance.naver.com/item/main.naver?code=391600
파워 K-주주가치액티브,"9,975",35,-0.35%,N/A,16,https://finance.naver.com/item/main.naver?code=491510
KCGI 미국S&P500 TOP10,"12,375",55,+0.45%,+22.04%,"63,498",https://finance.naver.com/item/main.naver?code=483570
KODEX 철강,"9,515",35,+0.37%,+15.61%,"9,004",https://finance.naver.com/item/main.naver?code=117680
ACE 글로벌브랜드TOP10블룸버그,"18,280",45,-0.25%,+23.13%,"43,474",https://finance.naver.com/item/main.naver?code=435040
SOL K방산,"10,060",70,-0.69%,N/A,"119,327",https://finance.naver.com/item/main.naver?code=490480
RISE 채권혼합,"60,745",280,+0.46%,-0.35%,22,https://finance.naver.com/item/main.naver?code=183700
RISE 배터리 리사이클링,"9,545",5,+0.05%,-5.78%,"2,352",https://finance.naver.com/item/main.naver?code=446700
RISE 헬스케어채권혼합,"11,985",0,0.00%,-1.67%,"1,860",https://finance.naver.com/item/main.naver?code=253290
RISE 미국S&P원유생산기업(합성 ..,"6,110",60,-0.97%,+5.74%,980,https://finance.naver.com/item/main.naver?code=219390
TIGER 코스닥150선물인버스,"4,080",5,-0.12%,+3.81%,"106,252",https://finance.naver.com/item/main.naver?code=250780
KODEX 유럽명품TOP10 STOXX,"9,505",25,+0.26%,+11.96%,"3,094",https://finance.naver.com/item/main.naver?code=456250
BNK 주주가치액티브,"13,490",125,+0.94%,-0.11%,1,https://finance.naver.com/item/main.naver?code=445690
TIGER 200 금융,"8,555",65,-0.75%,+1.73%,"4,063",https://finance.naver.com/item/main.naver?code=139270
에셋플러스 차이나일등기업포커..,"13,490",150,-1.10%,+38.41%,775,https://finance.naver.com/item/main.naver?code=474920
ACE 미국달러단기채권액티브,"11,685",30,+0.26%,+8.62%,"29,837",https://finance.naver.com/item/main.naver?code=440650
TIMEFOLIO 코리아밸류업액티브,"9,340",40,-0.43%,N/A,"179,856",https://finance.naver.com/item/main.naver?code=495060
HANARO 코스닥150,"11,630",10,-0.09%,-5.25%,705,https://finance.naver.com/item/main.naver?code=304770
RISE V&S셀렉트밸류채권혼합,"11,605",5,+0.04%,-0.92%,"1,359",https://finance.naver.com/item/main.naver?code=241390
KODEX 미국S&P500경기소비재,"18,315",115,+0.63%,+32.89%,"2,919",https://finance.naver.com/item/main.naver?code=453660
KODEX 운송,"5,050",60,-1.17%,+4.61%,"9,726",https://finance.naver.com/item/main.naver?code=140710
에셋플러스 코리아플랫폼액티브,"6,435",10,+0.16%,-0.16%,26,https://finance.naver.com/item/main.naver?code=407820
RISE 국채30년레버리지(합성),"26,840",330,-1.21%,+13.92%,"1,694",https://finance.naver.com/item/main.naver?code=451670
TIGER 미국캐시카우100,"13,255",35,-0.26%,+16.78%,"14,709",https://finance.naver.com/item/main.naver?code=465670
히어로즈 미국성장기업30액티브,"15,535",215,+1.40%,+16.59%,"3,727",https://finance.naver.com/item/main.naver?code=459790
KODEX 미국S&P500커뮤니케이션,"16,485",180,-1.08%,+28.91%,"1,502",https://finance.naver.com/item/main.naver?code=463690
HANARO 주주가치성장코리아액티..,"10,055",15,-0.15%,-1.95%,"9,901",https://finance.naver.com/item/main.naver?code=482870
TIGER 차이나CSI300인버스(합성),"7,365",25,+0.34%,-25.22%,27,https://finance.naver.com/item/main.naver?code=217780
HANARO Fn K-게임,"4,365",35,-0.80%,+4.14%,"7,719",https://finance.naver.com/item/main.naver?code=395280
TIGER 유로스탁스배당30,"12,260",130,+1.07%,-0.17%,"2,281",https://finance.naver.com/item/main.naver?code=245350
TIGER K게임,"7,505",130,-1.70%,+5.17%,"13,496",https://finance.naver.com/item/main.naver?code=300610
PLUS 코리아밸류업,"9,535",20,+0.21%,N/A,317,https://finance.naver.com/item/main.naver?code=495040
TIGER S&P글로벌인프라(합성),"14,555",205,+1.43%,+7.87%,"1,721",https://finance.naver.com/item/main.naver?code=269370
RISE 글로벌수소경제,"7,370",0,0.00%,+14.53%,706,https://finance.naver.com/item/main.naver?code=417450
PLUS 미국테크TOP10,"18,620",40,+0.22%,+26.61%,"1,338",https://finance.naver.com/item/main.naver?code=461900
파워 코스피100,"25,200",50,-0.20%,-3.34%,226,https://finance.naver.com/item/main.naver?code=140950
PLUS 미국배당증가성장주데일리..,"10,070",120,+1.21%,N/A,"128,044",https://finance.naver.com/item/main.naver?code=494420
KODEX 구리선물(H),"7,100",65,-0.91%,-0.14%,"4,466",https://finance.naver.com/item/main.naver?code=138910
TIGER 단기선진하이일드(합성 H),"13,360",65,+0.49%,+1.03%,"4,102",https://finance.naver.com/item/main.naver?code=182490
ACE 원자력테마딥서치,"17,140",520,+3.13%,+0.67%,"4,277",https://finance.naver.com/item/main.naver?code=433500
KODEX KRX300레버리지,"11,960",85,+0.72%,-8.37%,517,https://finance.naver.com/item/main.naver?code=306950
KODEX 미국S&P500필수소비재,"12,590",10,-0.08%,+6.77%,"2,030",https://finance.naver.com/item/main.naver?code=453630
HANARO CD금리액티브(합성),"103,850",15,+0.01%,+0.82%,55,https://finance.naver.com/item/main.naver?code=471290
KODEX MSCI퀄리티,"8,510",0,0.00%,-4.00%,0,https://finance.naver.com/item/main.naver?code=275300
VITA MZ소비액티브,"7,940",15,+0.19%,-0.75%,"32,434",https://finance.naver.com/item/main.naver?code=422260
KODEX 필수소비재,"6,615",20,-0.30%,-1.78%,"3,250",https://finance.naver.com/item/main.naver?code=266410
PLUS 우량회사채50,"118,750",20,+0.02%,+0.98%,975,https://finance.naver.com/item/main.naver?code=239660
KOSEF 물가채KIS,"117,100",155,-0.13%,+2.86%,70,https://finance.naver.com/item/main.naver?code=430500
HANARO KOFR금리액티브(합성),"106,430",0,0.00%,+0.83%,0,https://finance.naver.com/item/main.naver?code=453060
TIGER 일본TOPIX(합성 H),"23,200",30,-0.13%,+7.25%,111,https://finance.naver.com/item/main.naver?code=195920
SOL 국고채30년액티브,"57,835",95,-0.16%,+7.18%,7,https://finance.naver.com/item/main.naver?code=474390
TIGER 글로벌자원생산기업(합성 ..,"14,385",25,+0.17%,-2.05%,104,https://finance.naver.com/item/main.naver?code=276000
PLUS 글로벌방산,"9,585",50,-0.52%,N/A,"15,826",https://finance.naver.com/item/main.naver?code=496770
ACE 멕시코MSCI(합성),"12,760",25,+0.20%,+2.78%,602,https://finance.naver.com/item/main.naver?code=291130
1Q 코리아밸류업,"9,565",65,+0.68%,N/A,319,https://finance.naver.com/item/main.naver?code=495330
RISE 미국S&P배당킹,"11,460",10,-0.09%,+6.57%,"2,998",https://finance.naver.com/item/main.naver?code=460660
SOL 글로벌탄소배출권선물ICE(합..,"11,430",115,-1.00%,-1.28%,"1,840",https://finance.naver.com/item/main.naver?code=400590
RISE 미국테크100데일리고정커버..,"11,400",10,-0.09%,N/A,"20,019",https://finance.naver.com/item/main.naver?code=491620
PLUS 글로벌수소&차세대연료전지,"3,805",10,-0.26%,+6.12%,"11,553",https://finance.naver.com/item/main.naver?code=419650
KODEX MSCI밸류,"10,180",90,+0.89%,-6.62%,12,https://finance.naver.com/item/main.naver?code=275290
ACE 2차전지&친환경차액티브,"7,415",5,+0.07%,-19.50%,"3,601",https://finance.naver.com/item/main.naver?code=385600
HANARO K-뷰티,"11,100",65,+0.59%,-9.10%,"4,131",https://finance.naver.com/item/main.naver?code=479850
RISE 미국AI밸류체인데일리고정..,"11,680",140,+1.21%,N/A,"16,757",https://finance.naver.com/item/main.naver?code=490590
KODEX 200가치저변동,"11,080",5,-0.05%,-1.99%,"9,390",https://finance.naver.com/item/main.naver?code=223190
TIGER 한중반도체(합성),"14,750",0,0.00%,+33.42%,0,https://finance.naver.com/item/main.naver?code=449690
RISE 미국장기국채선물(H),"8,505",80,-0.93%,-7.09%,"1,422",https://finance.naver.com/item/main.naver?code=267440
KODEX 미국클린에너지나스닥,"6,820",5,-0.07%,+12.25%,804,https://finance.naver.com/item/main.naver?code=419420
TIGER MSCI KOREA ESG리더스,"8,850",110,+1.26%,-0.69%,4,https://finance.naver.com/item/main.naver?code=289260
KODEX MSCI Korea,"15,440",110,+0.72%,-4.72%,5,https://finance.naver.com/item/main.naver?code=156080
ITF 200,"33,155",50,-0.15%,-3.24%,28,https://finance.naver.com/item/main.naver?code=472840
SOL 반도체전공정,"6,935",5,+0.07%,-8.58%,"1,664",https://finance.naver.com/item/main.naver?code=475300
KOSEF 미국블록버스터바이오테크..,"9,750",20,+0.21%,-6.48%,341,https://finance.naver.com/item/main.naver?code=483030
KODEX 기계장비,"7,010",0,0.00%,+2.71%,"2,605",https://finance.naver.com/item/main.naver?code=102960
KODEX 미국ETF산업Top10 Indxx,"17,715",125,-0.70%,+17.97%,"3,752",https://finance.naver.com/item/main.naver?code=428560
RISE 200고배당커버드콜ATM,"8,140",35,-0.43%,+6.50%,"3,647",https://finance.naver.com/item/main.naver?code=290080
KODEX 코스닥글로벌,"10,445",35,-0.33%,-2.96%,249,https://finance.naver.com/item/main.naver?code=461450
KODEX MSCI모멘텀,"12,860",45,+0.35%,+2.56%,11,https://finance.naver.com/item/main.naver?code=275280
ACE 미국부동산리츠(합성 H),"85,685",80,+0.09%,-3.82%,28,https://finance.naver.com/item/main.naver?code=181480
KoAct 미국뇌질환치료제액티브,"10,185",130,-1.26%,+6.07%,"4,974",https://finance.naver.com/item/main.naver?code=490330
KOSEF 고배당,"11,300",20,+0.18%,+4.75%,"6,409",https://finance.naver.com/item/main.naver?code=104530
RISE 중국MSCI China(H),"8,475",90,-1.05%,+18.46%,336,https://finance.naver.com/item/main.naver?code=310080
ACE 글로벌AI맞춤형반도체,"12,700",595,+4.92%,N/A,"121,001",https://finance.naver.com/item/main.naver?code=494340
KOSEF 미국달러선물인버스2X,"4,675",25,-0.53%,-14.55%,"3,630",https://finance.naver.com/item/main.naver?code=230480
PLUS 일본엔화초단기국채(합성),"10,050",20,-0.20%,-1.03%,"6,545",https://finance.naver.com/item/main.naver?code=489000
SOL 미국S&P500엔화노출(H),"10,000",45,-0.45%,N/A,"108,189",https://finance.naver.com/item/main.naver?code=499150
KOSEF 블루칩,"8,325",35,-0.42%,-0.49%,32,https://finance.naver.com/item/main.naver?code=104520
HK 200,"33,160",75,+0.23%,-3.27%,32,https://finance.naver.com/item/main.naver?code=491700
에셋플러스 글로벌대장장이액티..,"19,040",130,+0.69%,+26.28%,588,https://finance.naver.com/item/main.naver?code=433220
히어로즈 미국달러SOFR금리액티..,"12,195",50,+0.41%,+8.87%,"3,672",https://finance.naver.com/item/main.naver?code=460270
TIGER 탄소효율그린뉴딜,"8,200",40,+0.49%,-3.94%,"1,353",https://finance.naver.com/item/main.naver?code=376410
TIGER LG그룹+펀더멘털,"6,810",10,+0.15%,-7.66%,"17,719",https://finance.naver.com/item/main.naver?code=138530
TIGER 미국달러선물레버리지,"16,335",65,+0.40%,+17.22%,"1,371",https://finance.naver.com/item/main.naver?code=261110
TIGER AI코리아그로스액티브,"12,210",45,+0.37%,-2.13%,"1,549",https://finance.naver.com/item/main.naver?code=365040
KoAct 미국천연가스인프라액티브,"9,735",5,+0.05%,N/A,"82,889",https://finance.naver.com/item/main.naver?code=497780
FOCUS KRX300,"16,220",220,+1.38%,-4.02%,1,https://finance.naver.com/item/main.naver?code=292730
HANARO 미국S&P500,"16,200",0,0.00%,+16.36%,491,https://finance.naver.com/item/main.naver?code=432840
KODEX 코스피대형주,"12,075",20,+0.17%,-2.98%,"1,002",https://finance.naver.com/item/main.naver?code=337140
TRUSTON 코리아밸류업액티브,"9,610",5,-0.05%,N/A,315,https://finance.naver.com/item/main.naver?code=496130
TIMEFOLIO K컬처액티브,"9,580",75,+0.79%,-2.36%,"15,696",https://finance.naver.com/item/main.naver?code=410870
RISE 코리아금융고배당,"9,570",70,-0.73%,N/A,"14,435",https://finance.naver.com/item/main.naver?code=498860
KoAct 글로벌기후테크인프라액티..,"15,750",90,+0.57%,+29.06%,"3,585",https://finance.naver.com/item/main.naver?code=475070
KODEX 200exTOP,"11,810",0,0.00%,-0.17%,0,https://finance.naver.com/item/main.naver?code=337150
WON 한국부동산TOP3플러스,"9,420",135,-1.41%,-7.89%,179,https://finance.naver.com/item/main.naver?code=480460
HANARO 글로벌반도체TOP10 SOLAC..,"17,115",440,+2.64%,+12.18%,"6,302",https://finance.naver.com/item/main.naver?code=464060
TREX 펀더멘탈 200,"37,535",165,+0.44%,-4.61%,2,https://finance.naver.com/item/main.naver?code=145850
RISE 5대그룹주,"5,810",35,-0.60%,-6.85%,798,https://finance.naver.com/item/main.naver?code=105780
마이티 코스피100,"25,690",30,-0.12%,-3.44%,10,https://finance.naver.com/item/main.naver?code=159800
TIGER 은행,"8,885",55,-0.62%,+2.89%,"7,286",https://finance.naver.com/item/main.naver?code=091220
WON 미국빌리어네어,"13,170",205,+1.58%,+30.37%,"34,052",https://finance.naver.com/item/main.naver?code=489290
KODEX 기후변화솔루션,"9,210",40,+0.44%,-14.90%,311,https://finance.naver.com/item/main.naver?code=404260
KODEX K-뉴딜디지털플러스,"7,610",30,+0.40%,-3.93%,52,https://finance.naver.com/item/main.naver?code=368680
RISE 미국반도체인버스(합성 H),"20,115",435,-2.12%,N/A,"1,925",https://finance.naver.com/item/main.naver?code=491630
TIGER 이머징마켓MSCI레버리지(..,"8,145",125,+1.56%,+3.48%,1,https://finance.naver.com/item/main.naver?code=225060
KODEX MSCI KOREA ESG유니버설,"9,935",0,0.00%,-3.17%,0,https://finance.naver.com/item/main.naver?code=289040
KODEX 한중반도체(합성),"14,885",0,0.00%,+31.84%,0,https://finance.naver.com/item/main.naver?code=450190
KODEX 미국스마트모빌리티S&P,"5,940",20,+0.34%,+17.23%,"1,580",https://finance.naver.com/item/main.naver?code=390400
에셋플러스 글로벌일등기업포커..,"14,800",95,+0.65%,+30.31%,764,https://finance.naver.com/item/main.naver?code=477490
SOL 자동차소부장Fn,"8,865",40,+0.45%,-5.11%,436,https://finance.naver.com/item/main.naver?code=464600
KOSEF 글로벌전력GRID인프라,"11,060",90,-0.81%,+12.00%,"2,894",https://finance.naver.com/item/main.naver?code=489860
